Identifiant de la station;Nom de la station;Capacité de la station;Lattitude;Longitude;Coordonnées géographiques
35263507;Port Royal - Hôpital Cochin;23;48.838373233813286;2.340717874467373;48.8383732338,2.34071787447
6497;Duhamel - André Gide;20;48.8365662244334;2.312707121097412;48.8365662244,2.3127071211
653118283;Ancienne Mairie - André Morizet;25;48.838311;2.234077;48.838311,2.234077
82413301;Ménilmontant - Oberkampf;42;48.8666176586814;2.38301344041578;48.8666176587,2.38301344042
501862076;Place Nelson Mandela;22;48.862090937689715;2.196576297283173;48.8620909377,2.19657629728
102747146;Lagny - Victor Basch;26;48.84884147189881;2.426325418925233;48.8488414719,2.42632541893
128940135;Marceau - Chaillot;21;48.86883394989261;2.2989967837929726;48.8688339499,2.29899678379
1057296253;Regnault - Patay;27;48.82435782216384;2.377065159380436;48.8243578222,2.37706515938
128920403;Gare Saint-Lazare - Isly;27;48.874777677621296;2.326515804784655;48.8747776776,2.32651580478
208795867;Ambroise Rendu - Porte Brunet;17;48.883667;2.395733;48.883667,2.395733
128882438;Institut du Monde Arabe - Saint-Germain;40;48.84906329950134;2.3558086529374123;48.8490632995,2.35580865294
210399835;Panthéon - Valette;39;48.84702057165222;2.3464982619671075;48.8470205717,2.34649826197
210749865;Port-Royal - Hôpital du Val-de-Grâce;18;48.8376682728114;2.344813834660711;48.8376682728,2.34481383466
213683101;Lecourbe - Jean Maridor;19;48.83796366147599;2.2877392172813416;48.8379636615,2.28773921728
66491402;Marcadet - Barbès;37;48.89045112096476;2.349057392968696;48.890451121,2.34905739297
102331767;Victor Hugo - Galliéni;34;48.83802015441127;2.2460845112800603;48.8380201544,2.24608451128
613737748;Raspail - Manufacture des Oeillets;32;48.8094458;2.3903009;48.8094458,2.3903009
27415665;Jean Jaurès - Salvador Allende;43;48.821475594736775;2.3026576638221745;48.8214755947,2.30265766382
1062671597;Cossonnerie - Sébastopol;24;48.86132665908402;2.349419631063938;48.8613266591,2.34941963106
213691848;Place Madeleine Daniélou;42;48.883498;2.282015;48.883498,2.282015
875078767;Lieutenant Chauré - Etienne Marey;20;48.86746195408435;2.405970990657807;48.8674619541,2.40597099066
653042678;Quai de Béthune - Pont de la Tournelle;25;48.85097433194032;2.356307208538055;48.8509743319,2.35630720854
94250567;Mairie d'Ivry-sur-Seine;53;48.81057120969284;2.3842826485633855;48.8105712097,2.38428264856
649888071;Place Paul Eluard;19;48.7672039733195;2.4144977331161503;48.7672039733,2.41449773312
49859500;Charenton - Diderot;18;48.84617146118711;2.3793068155646324;48.8461714612,2.37930681556
66491393;Dupleix - du Guesclin;47;48.85147910413369;2.296709530055523;48.8514791041,2.29670953006
82417874;Alexandre Dumas - Voltaire;60;48.85288867036487;2.389147640809553;48.8528886704,2.38914764081
210747224;Pirogues de Bercy - Libourne;49;48.832308;2.38637;48.832308,2.38637
85165045;Place Jean-Baptiste Clément;25;48.81240466867336;2.3617091774940495;48.8124046687,2.36170917749
244400797;Jean Lolive - Parc Stalingrad;23;48.89206174403158;2.4091735482215886;48.892061744,2.40917354822
473204291;Victor Hugo - Magasins Généraux;34;48.903281401126755;2.368072383105755;48.9032814011,2.36807238311
129130397;Pierre Grenier - Pont de Billancourt;21;48.8258020742942;2.2487989068031315;48.8258020743,2.2487989068
54000598;Mac-Mahon - Brey;25;48.877532084130166;2.294512536052928;48.8775320841,2.29451253605
54000604;Ordener - Poissonniers;35;48.891213890844654;2.351288666219873;48.8912138908,2.35128866622
42908639;Lallier - Trudaine;29;48.88109246617963;2.3408224806189537;48.8810924662,2.34082248062
66507229;Reims - Porte d'Asnières;26;48.891834448210986;2.300144659954865;48.8918344482,2.30014465995
82554786;Place de l'Eglise;30;48.892809461520265;2.4124351143836975;48.8928094615,2.41243511438
54000567;Montreuil - Voltaire;34;48.85050701184191;2.393075558274471;48.8505070118,2.39307555827
357491025;Place Centrale;22;48.78740167690531;2.2278830409049992;48.7874016769,2.2278830409
1057003116;Charles Lecocq - Lecourbe;30;48.84044;2.294867;48.84044,2.294867
303102719;Brancion - Lefebvre;11;48.82900222785569;2.301431038163409;48.8290022279,2.30143103816
653123610;Pierre Lefaucheux - Traversière;35;48.82435208303827;2.2417913004755974;48.824352083,2.24179130048
35101194;Place de l'Insurrection d'Août 1944;30;48.81477852751594;2.398074567317963;48.8147785275,2.39807456732
213683992;Cauchy - Cévennes;51;48.8433725710224;2.275132834911347;48.843372571,2.27513283491
213689815;Porte d'Asnières;36;48.89035817610495;2.3036286234855656;48.8903581761,2.30362862349
213677219;Brillat-Savarin - Küss;21;48.822203;2.350422;48.822203,2.350422
54000632;Paul Vaillant-Couturier - Victor Hugo;36;48.89819702263572;2.293848017974069;48.8981970226,2.29384801797
653137566;Mairie de Clamart;33;48.800612;2.262151;48.800612,2.262151
266422568;Place Edmond Michelet;23;48.860134890541865;2.350063696503639;48.8601348905,2.3500636965
210573120;Hoche - Tilsitt;33;48.87483645783703;2.297132313251496;48.8748364578,2.29713231325
1057234527;Gare d'Argenteuil;40;48.947022436806705;2.256898172199726;48.9470224368,2.2568981722
265201872;Bourdon - Pont Morland;52;48.8478103;2.3659356;48.8478103,2.3659356
1057758764;Cadix - Hameau;37;48.8340107632249;2.289516180753708;48.8340107632,2.28951618075
100868590;Cité Vaneau;26;48.8542210666207;2.319614924490452;48.8542210666,2.31961492449
49094984;Herschel - Observatoire;37;48.84342376221923;2.3376645147800446;48.8434237622,2.33766451478
1062911162;Solitaires - Place des Fêtes;29;48.876601;2.391769;48.876601,2.391769
58391194;Tiron - Rivoli;28;48.85569225323279;2.357905805110932;48.8556922532,2.35790580511
78374110;Square Pierre Lazareff;17;48.867141720745806;2.348393350839615;48.8671417207,2.34839335084
53999465;Place du Palais Royal;67;48.86243023476397;2.338520131151779;48.8624302348,2.33852013115
49424560;Saint-Mande - Picpus;35;48.845127728277696;2.4015686296481897;48.8451277283,2.40156862965
653107480;Paganini - Davout;22;48.85135;2.412021;48.85135,2.412021
27363058;Suffren - La Motte-Piquet;23;48.85088123091874;2.301219999790192;48.8508812309,2.30121999979
35080917;Euryale Dehaynin - Loire;30;48.886248917304805;2.3774591088294987;48.8862489173,2.37745910883
27363206;Riquet - Marx Dormoy;29;48.89021003702031;2.3601756244897842;48.890210037,2.36017562449
37420;Hauteville - Bonne Nouvelle;17;48.87077436024043;2.349649636832728;48.8707743602,2.34964963683
54000594;Edouard Pailleron - Bouret;27;48.880597694070524;2.3769494891166687;48.8805976941,2.37694948912
82583924;Pyrénées - Charles Renouvier;29;48.86095933229224;2.400421852042113;48.8609593323,2.40042185204
15163771;George Sand - Jean de La Fontaine;30;48.84986918764119;2.268257387525699;48.8498691876,2.26825738753
128884445;Constantine - Université;65;48.860680473738334;2.314848195584221;48.8606804737,2.31484819558
49829553;Legendre - Nollet;30;48.887742186754224;2.320293079881375;48.8877421868,2.32029307988
82425449;Bois de Vincennes - Polygone;51;48.83544491617421;2.431421081436563;48.8354449162,2.43142108144
39882420;Championnet;22;48.8953643;2.3498166;48.8953643,2.3498166
11375742;Arsonval - Falguière;25;48.84040040365445;2.313117867297474;48.8404004037,2.3131178673
100769544;Harpe - Saint-Germain;45;48.85151881501689;2.343670316040516;48.851518815,2.34367031604
210405211;Beaux-Arts - Bonaparte;20;48.856451985395786;2.334851883351803;48.8564519854,2.33485188335
457813746;Henri Barbusse - Stalingrad;16;48.814580710238836;2.2875300049781804;48.8145807102,2.28753000498
1805401614;Sèvres-Gallieni;27;48.83774386804352;2.2281204164028168;48.837743868,2.2281204164
535500589;Hôpital Européen Georges Pompidou;65;48.83769531916335;2.275374233722687;48.8376953192,2.27537423372
828134511;Porte de Vanves;32;48.82801284944511;2.3056878894567485;48.8280128494,2.30568788946
586649404;Conservatoire de Musique;25;48.77093586667601;2.4034014344215398;48.7709358667,2.40340143442
271426439;Buisson Saint-Louis - Saint-Maur;19;48.87174684930295;2.3722528328789854;48.8717468493,2.37225283288
303695607;Pont-Neuf - Quai du Louvre;30;48.8582958982873;2.3423714563250546;48.8582958983,2.34237145633
27415736;Jean Jaurès - Presles;30;48.90713441498779;2.396005728053061;48.907134415,2.39600572805
572566600;Edouard Tremblay - Julian Grimau;30;48.78138382511671;2.3723508417606354;48.7813838251,2.37235084176
213685514;Place Robert Guillemard;24;48.836191728066666;2.2811267160086417;48.8361917281,2.28112671601
213688462;Sablons - Georges Mandel;38;48.863875;2.28189;48.863875,2.28189
213690847;Reims - Raymond Pitet;37;48.8888;2.296319;48.8888,2.296319
362869414;Hôpital Bégin;26;48.84571672113014;2.4272462725639348;48.8457167211,2.42724627256
42743053;Stephenson - Doudeauville;36;48.888537048944826;2.3561610281467438;48.8885370489,2.35616102815
82337423;Varenne;47;48.8572026618033;2.315277121961117;48.8572026618,2.31527712196
376526598;Mairie des Lilas;47;48.8792834;2.4160182;48.8792834,2.4160182
985828965;Place de Verdun;40;48.8202823;2.473775;48.8202823,2.473775
82571110;Verdun - Place Henri IV;26;48.870797375639214;2.2277003154158592;48.8707973756,2.22770031542
1333959209;Génie - Mozart;19;48.794902381218904;2.3734183609485626;48.7949023812,2.37341836095
76199110;Université Paris Dauphine;70;48.870707839985386;2.2748656198382378;48.87070784,2.27486561984
102289046;Lourmel - Marie Skobtsov;22;48.844974;2.287283;48.844974,2.287283
124402232;Belleville - Télégraphe;41;48.8756045;2.3995549;48.8756045,2.3995549
63769334;Emile Blemont - Poteau;39;48.8943782;2.3415122;48.8943782,2.3415122
224256188;Beaujon - Wagram;29;48.87535245598514;2.2964416444301605;48.875352456,2.29644164443
37920;Traversière - Ledru-Rollin;34;48.850735824128805;2.375870111706245;48.8507358241,2.37587011171
36151;Favart - Italiens;17;48.87144635392104;2.338290105850787;48.8714463539,2.33829010585
256403519;Place Pigalle;21;48.8827555;2.3361566;48.8827555,2.3361566
486750405;Ney - Porte de Montmartre;25;48.897918;2.3364872;48.897918,2.3364872
1056959071;Place Mireille Havet;43;48.850533;2.383756;48.850533,2.383756
129081441;Vignes - Boulainvilliers;21;48.856399483950504;2.275240458548069;48.856399484,2.27524045855
82590367;Place Marcel Sembat;56;48.83328865030686;2.2441747784614567;48.8332886503,2.24417477846
271540743;Gare de Clichy-Levallois;26;48.89679827481989;2.2984680533409123;48.8967982748,2.29846805334
100905057;Londres - Amsterdam;23;48.878034461503965;2.326483540969424;48.8780344615,2.32648354097
272638713;Charles de Gaulle - Louis-Philippe;28;48.88162131114395;2.2712830090406526;48.8816213111,2.27128300904
653079520;Averroès - Aimé Césaire;19;48.91405323432864;2.412636950612068;48.9140532343,2.41263695061
213685863;Parc Suzanne Lenglen;52;48.833250690537874;2.2765403240919113;48.8332506905,2.27654032409
101756482;Convention - Vaugirard;48;48.83767682233156;2.295586926020252;48.8376768223,2.29558692602
653135378;Amaury Duval - Gabriel Péri;36;48.81718759671675;2.323841750621796;48.8171875967,2.32384175062
458086607;Président Wilson - Baudin;28;48.89826887103676;2.2849336266517644;48.898268871,2.28493362665
85155919;Estienne d'Orves - Henri Ginoux;31;48.815388220397274;2.320886790760933;48.8153882204,2.32088679076
653083263;Lucien Bossoutrot - Général Martial Vallin;39;48.83695604631085;2.274107225239277;48.8369560463,2.27410722524
488889101;Bessières - Porte de Clichy;33;48.89611762451474;2.31790903955698;48.8961176245,2.31790903956
491932748;Porte des Lilas - Faidherbe;39;48.87861855668978;2.4120327830314636;48.8786185567,2.41203278303
82336035;Saint-Germain - Ciseaux;18;48.85330527759475;2.334465461882703;48.8533052776,2.33446546188
213894629;Square Denise Buisson;45;48.8562322730982;2.426436245441437;48.8562322731,2.42643624544
1057748427;Rottembourg - Général Michel Bizot;43;48.83787825992554;2.4044052511453633;48.8378782599,2.40440525115
437741660;Saint-Denis - Rivoli;43;48.85905934084166;2.3476943001151085;48.8590593408,2.34769430012
49498164;Mairie du 8ème;14;48.877932;2.318264;48.877932,2.318264
653144717;Camille Risch - Paul Armangot;25;48.774703;2.373685;48.774703,2.373685
1062874070;Jourdan - Cité Universitaire;39;48.819897343156676;2.3397007964124366;48.8198973432,2.33970079641
101740379;Boulard - Daguerre;45;48.83442367825087;2.3294589668512344;48.8344236783,2.32945896685
1062982815;Gare de Bellevue;0;48.818953;2.229511;48.818953,2.229511
128880156;Archives - Rivoli;25;48.857346707443455;2.3539767041802406;48.8573467074,2.35397670418
443654970;Française - Etienne Marcel;37;48.864053304653766;2.347587011754513;48.8640533047,2.34758701175
331153695;Square Emile - Chautemps;25;48.86743372423056;2.353635728359223;48.8674337242,2.35363572836
100759356;Montmartre - Etienne Marcel;16;48.865021945810085;2.345068440144759;48.8650219458,2.34506844014
1062827573;Bézout - Général Leclerc;30;48.82884804502439;2.3285973072052;48.828848045,2.32859730721
96608796;Fille du Calvaire - Turenne;29;48.86210505412563;2.3649600148200993;48.8621050541,2.36496001482
1074333296;Hippodrome Paris-Vincennes;0;48.8234284;2.4504295;48.8234284,2.4504295
54001189;Chaussée d'Antin - Haussmann;28;48.87243;2.33359;48.87243,2.33359
82574979;Arthur Ranc - Hôpital Bichat;26;48.8978712500682;2.333521842956543;48.8978712501,2.33352184296
1074352578;Parc Floral du Bel Air;0;48.83922;2.434263;48.83922,2.434263
653156540;Place de la Division Leclerc;35;48.793824988636516;2.2731140430551027;48.7938249886,2.27311404306
102339791;Place du Maréchal de Lattre de Tassigny;27;48.821707715257055;2.2853431485432423;48.8217077153,2.28534314854
653114003;Dôme - République;25;48.832681;2.250257;48.832681,2.250257
102287315;Félix Faure - Convention;44;48.841249336041045;2.288386600849503;48.841249336,2.28838660085
39776330;Buzenval - Vignoles;17;48.85385817168762;2.400004081428051;48.8538581717,2.40000408143
102751453;Hôtel de Ville de Vincennes;27;48.84827609706963;2.4398955702781677;48.8482760971,2.43989557028
54000583;Tombe Issoire - René Coty;36;48.83051287670899;2.3343613743782043;48.8305128767,2.33436137438
28233012;Marceau - Président Wilson;32;48.8652359;2.3002513;48.8652359,2.3002513
124167835;Lavoisier - Missak Manouchian;18;48.86286468896063;2.495676465332508;48.862864689,2.49567646533
27415371;Charonne - Alexandre Dumas;35;48.85607741505607;2.394869327545166;48.8560774151,2.39486932755
35471668;Flandre - Ourcq;30;48.89260159189023;2.3790915682911873;48.8926015919,2.37909156829
27415004;Général Michel Bizot - Claude Decaen;38;48.83481262982544;2.400927788127704;48.8348126298,2.40092778813
66491398;Le Brun - Gobelins;48;48.835092787823875;2.353468135133752;48.8350927878,2.35346813513
210403080;Lacépède - Monge;23;48.84389286531899;2.3519663885235786;48.8438928653,2.35196638852
54000581;Croulebarde - Corvisart;34;48.830981659316855;2.3481646925210953;48.8309816593,2.34816469252
54000565;Granges aux Belles;27;48.8761373390584;2.3680844979417;48.8761373391,2.36808449794
210586093;Dunkerque - Rocroy;24;48.880726;2.351464;48.880726,2.351464
210574471;Abbeville - Faubourg Poissonnière;14;48.879223;2.349147;48.879223,2.349147
210738704;Mazagran - Bonne Nouvelle;25;48.870278;2.351281;48.870278,2.351281
129048000;Saint-Maur - Roquette;46;48.858688774062955;2.383553994571467;48.8586887741,2.38355399457
126050442;Pereire - Rennequin;23;48.88364782887555;2.2952447086572647;48.8836478289,2.29524470866
583178525;Boissière - Etienne Dolet;21;48.876111;2.4677312;48.876111,2.4677312
632086890;Place de l'Eglise;28;48.791922819921815;2.395057752728462;48.7919228199,2.39505775273
235599121;Général De Gaulle - Alouette;26;48.839109;2.4175664;48.839109,2.4175664
549876068;Villette - Belleville;48;48.872687731400255;2.3764613270759587;48.8726877314,2.37646132708
27363362;Seine - Flandre;19;48.886785741479684;2.3746193200349808;48.8867857415,2.37461932003
213700358;Villiers de l'Isle Adam - Pyrénées;20;48.867362;2.396222;48.867362,2.396222
650091839;Victor Hugo - Ecoles;25;48.80476007936134;2.4180373930262093;48.8047600794,2.41803739303
39626277;Lacuée - Lyon;16;48.849268481958404;2.370458543300628;48.849268482,2.3704585433
570185777;Gare de Courbevoie;36;48.8993867;2.2506506;48.8993867,2.2506506
6385;Petit - Manin;22;48.88650687534334;2.3938155401308374;48.8865068753,2.39381554013
406806401;Guichet - Jean Jaurès;28;48.905169868129036;2.3023840785026555;48.9051698681,2.3023840785
82421994;Gare de Bercy;35;48.839794573905685;2.382606603205204;48.8397945739,2.38260660321
214123470;Place Léon Gambetta;26;48.81461250235386;2.4029293656349187;48.8146125024,2.40292936563
37921892;Vinaigriers - Magenta;25;48.8731167;2.3593052;48.8731167,2.3593052
985086307;Gare d'Asnières sur Seine;24;48.90636459217474;2.2835066914558415;48.9063645922,2.28350669146
255212362;Porte de Versailles;24;48.83215381734912;2.2871491312980647;48.8321538173,2.2871491313
6298;Gare du Nord - Saint-Vincent de Paul;25;48.88095574164779;2.352430514838522;48.8809557416,2.35243051484
452920451;Mont Valérien - Michel Salles;24;48.8561915;2.2152966;48.8561915,2.2152966
54000545;Parc André Citroën;65;48.840639944296655;2.2780618071556096;48.8406399443,2.27806180716
39536951;Vistule - Choisy;33;48.82365543660611;2.3615723848342896;48.8236554366,2.36157238483
1056965116;Lac Daumesnil - Saint-Maurice;50;48.82774555743318;2.4183654785156246;48.8277455574,2.41836547852
653076373;Bois de Vincennes - Porte Jaune;35;48.838751246689455;2.4605489149689674;48.8387512467,2.46054891497
476053320;Ecole Militaire - Place Joffre;26;48.852060203582795;2.301799356937409;48.8520602036,2.30179935694
1057061349;Chancé Milly - Cimetière Communal Sud;32;48.89687189382465;2.303922325372696;48.8968718938,2.30392232537
1057039016;Fessart - Château;20;48.84245;2.23989;48.84245,2.23989
311552027;Temple - Charlot;45;48.86570934379584;2.365273725072355;48.8657093438,2.36527372507
302725495;Gare SNCF Vanves-Malakoff;51;48.819002163836444;2.292150005103606;48.8190021638,2.2921500051
7247;Charonne - Pierre Bayle;23;48.858445054261914;2.39039812238911;48.8584450543,2.39039812239
653134004;Louis Rolland - République;26;48.81710889740748;2.3193106434955717;48.8171088974,2.3193106435
653205656;Gare de la Garenne-Colombes;28;48.909752;2.239145;48.909752,2.239145
85015750;Pergolèse - Malakoff;38;48.87521088779225;2.2842781618237495;48.8752108878,2.28427816182
1057221951;Balzac - Olympes de Gouges;28;48.77850332486751;2.4006786569952965;48.7785033249,2.400678657
1057378487;Fort d'Aubervilliers;22;48.91502382370325;2.4035281687974925;48.9150238237,2.4035281688
1057737444;Place Ginette Hamelin;51;48.837853;2.382064;48.837853,2.382064
1237624420;Maurice d'Ocagne - General Maudhuy;30;48.82414282524159;2.3158789426088333;48.8241428252,2.31587894261
27359295;Benoît Frachon - République;30;48.85230729014318;2.415605485439301;48.8523072901,2.41560548544
54000622;Davout - Volga;28;48.852919679957296;2.410522909779111;48.85291968,2.41052290978
101008598;Reuilly - Place Felix Eboue;42;48.84030274499962;2.394630398715453;48.840302745,2.39463039872
27296946;Square Claude Bernard;30;48.89876016219984;2.375325746834278;48.8987601622,2.37532574683
653143563;Henri Ravera - Gabriel Péri;30;48.79722273833844;2.302115857601166;48.7972227383,2.3021158576
66491391;Claude Vellefaux - Hôpital Saint-Louis;32;48.87285913900304;2.370071706985146;48.872859139,2.37007170699
27364642;Maine - Liancourt;27;48.835064363954;2.323731449973991;48.835064364,2.32373144997
27415389;Gambetta - Père Lachaise;29;48.864295696165875;2.398228667282044;48.8642956962,2.39822866728
35472299;Pyrénées - Plaine;12;48.85026702458012;2.4062821269035344;48.8502670246,2.4062821269
128874528;Temple - Haudriettes;19;48.861636880211584;2.356696020645806;48.8616368802,2.35669602065
54000557;Simon Bolivar - Henri Turot;22;48.876887;2.374454;48.876887,2.374454
52474;Belleville -  Pré Saint-Gervais;21;48.875565910073085;2.3930460959672923;48.8755659101,2.39304609597
76352106;Saint-Augustin;31;48.8762009747008;2.319786250591278;48.8762009747,2.31978625059
